date,exchange,status,start_time,end_time,holiday_name
1/17/2000,NYSE,closed,,,Martin Luther King's Birthday
2/21/2000,NYSE,closed,,,Washington's Birthday
4/21/2000,NYSE,closed,,,Good Friday
5/29/2000,NYSE,closed,,,Memorial Day
7/3/2000,NYSE,short day,9:30,13:00,Independence Day
7/4/2000,NYSE,closed,,,Independence Day
9/4/2000,NYSE,closed,,,Labor Day
11/23/2000,NYSE,closed,,,Thanksgiving Day
11/24/2000,NYSE,short day,9:30,13:00,Black Friday
12/25/2000,NYSE,closed,,,Christmas Day
1/1/2001,NYSE,closed,,,New Year's Day
1/15/2001,NYSE,closed,,,Martin Luther King's Birthday
2/19/2001,NYSE,closed,,,Washington's Birthday
4/13/2001,NYSE,closed,,,Good Friday
5/28/2001,NYSE,closed,,,Memorial Day
7/3/2001,NYSE,short day,9:30,13:00,Independence Day
7/4/2001,NYSE,closed,,,Independence Day
9/3/2001,NYSE,closed,,,Labor Day
9/11/2001,NYSE,closed,,,Special Holiday
9/12/2001,NYSE,closed,,,Special Holiday
9/13/2001,NYSE,closed,,,Special Holiday
9/14/2001,NYSE,closed,,,Special Holiday
11/22/2001,NYSE,closed,,,Thanksgiving Day
11/23/2001,NYSE,short day,9:30,13:00,Black Friday
12/24/2001,NYSE,short day,9:30,13:00,Christmas Eve
12/25/2001,NYSE,closed,,,Christmas Day
1/1/2002,NYSE,closed,,,New Year's Day
1/15/2002,NYSE,economic,,,ppi
1/16/2002,NYSE,economic,,,cpi
1/21/2002,NYSE,closed,,,Martin Luther King's Birthday
1/30/2002,NYSE,economic,,,fomc
2/18/2002,NYSE,closed,,,Washington's Birthday
2/19/2002,NYSE,economic,,,ppi
2/20/2002,NYSE,economic,,,cpi
3/15/2002,NYSE,economic,,,witching
3/19/2002,NYSE,economic,,,fomc|ppi
3/20/2002,NYSE,economic,,,cpi
3/29/2002,NYSE,closed,,,Good Friday
4/12/2002,NYSE,economic,,,ppi
4/17/2002,NYSE,economic,,,cpi
5/7/2002,NYSE,economic,,,fomc
5/10/2002,NYSE,economic,,,ppi
5/14/2002,NYSE,economic,,,cpi
5/27/2002,NYSE,closed,,,Memorial Day
6/13/2002,NYSE,economic,,,ppi
6/14/2002,NYSE,economic,,,cpi
6/21/2002,NYSE,economic,,,witching
6/26/2002,NYSE,economic,,,fomc
7/4/2002,NYSE,closed,,,Independence Day
7/5/2002,NYSE,short day,9:30,13:00,Independence Day
7/12/2002,NYSE,economic,,,ppi
7/17/2002,NYSE,economic,,,cpi
8/13/2002,NYSE,economic,,,fomc|ppi
8/14/2002,NYSE,economic,,,cpi
